,nmr_wilayah,nama_wilayah
0,1,ACEH
1,6728,SUMATERA UTARA
2,12920,SUMATERA BARAT
3,14086,RIAU
4,15885,JAMBI
5,17404,SUMATERA SELATAN
6,20802,BENGKULU
7,22328,LAMPUNG
8,24993,KEPULAUAN BANGKA BELITUNG
9,25405,KEPULAUAN RIAU
10,25823,DKI JAKARTA
11,26141,JAWA BARAT
12,32676,JAWA TENGAH
13,41863,DAERAH ISTIMEWA YOGYAKARTA
14,42385,JAWA TIMUR
15,51578,BANTEN
16,53241,BALI
17,54020,NUSA TENGGARA BARAT
18,55065,NUSA TENGGARA TIMUR
19,58285,KALIMANTAN BARAT
20,60371,KALIMANTAN TENGAH
21,61965,KALIMANTAN SELATAN
22,64111,KALIMANTAN TIMUR
23,928068,KALIMANTAN UTARA
24,65702,SULAWESI UTARA
25,67393,SULAWESI TENGAH
26,69268,SULAWESI SELATAN
27,72551,SULAWESI TENGGARA
28,74716,GORONTALO
29,75425,SULAWESI BARAT
30,76096,MALUKU
31,77085,MALUKU UTARA
32,78203,PAPUA
33,81877,PAPUA BARAT
34,-99,LUAR NEGERI
